review_text,rating,thumbs_up_count,app_version,source
"this app is probably the best app for trading, it is very beginner friendly and almost seems tailor made for analysis and news.",5,0,18.14.2,google_play
please add a limit price in basket mode also,2,0,18.14.2,google_play
super easy app to handle even for a novish,5,0,18.14.2,google_play
easiest in operation and charges are almost nominal. this is the best trading app.,5,0,18.14.2,google_play
why is the default buy price a percentage point above the market ltp,3,0,18.14.2,google_play
best broker for begainers really good very easy dashboard all simple .but i am rated 4 star because brokerage charge is very high,4,0,18.14.2,google_play
groww investor app review i am disappointed with my experience with the groww investor app. charges were deducted from my account without clear information or proper notification beforehand. customers should be clearly informed about any charges before they are applied. groww should make all charges transparent and provide proper notifications to customers. i request the company to review this issue and improve its communication about fees and charges.,1,0,18.14.2,google_play
one of best app to track mutual funds,5,0,18.14.2,google_play
"why is there no ""app clone"" feature for this app? other apps support the default app clone feature available in android.",5,0,18.14.2,google_play
unable to login. after allowing permission it's taking ages but not moving to next page,1,0,18.14.2,google_play
good stop marketing wish you on the best,5,0,18.12.1,google_play
portfolio gainers/losers and watchlist gainers/losers was good in previous version of app. don't know why removed,3,0,18.14.2,google_play
nice app and very easy to use more comfortable and more sequre app,5,0,18.13.2,google_play
why you guys not showing percentage gain or loss in intraday position in list earlier it was great to see instantly about managing win loss ratio,4,2,18.14.2,google_play
problam in front size . can read news in hindi ..,3,0,,google_play
feature request: real time live auction's indicative equilibrium price of nifty50 during the post-market session. (zerodha already launched),5,0,18.14.2,google_play
worst customer service. took more than 2.5 hrs for one response and for next response it took around 30 mins,1,0,18.14.2,google_play
i think there should be application number while applying ipo autopay request for confirmation about specific treding account specific ipo request... while other things are ok about this app..,3,0,18.14.2,google_play
good app to invest lumpsum amount or sip amount,5,0,18.13.2,google_play
"position and p&l sown before , and now it's not sown in bottom it's penic to save profit or loss old virsion is best rather then new",1,0,,google_play
"it has been 02 years now and i have the same feedback. this app either doesn't report the live prices properly or designed in a way to make you lose money while buying/selling orders. as soon as you try to buy a stock, the price goes up, as soon as decide to sell the price goes down, prompting you to buy at high prices and sell at lower price. market can be dynamic, but this app too has some issue in reporting live prices. never faced this issue at zerodha. groww needs to address these.",1,0,18.14.2,google_play
quickly accessible and easy to use for trading.,5,0,18.14.1,google_play
"very good interface, and easy to understand for beginners, and it runs smoothly even on my 5yrs old snapdragon 695 processor. the best app for beginners who are just starting to learn share market and mutual funds",5,0,18.14.2,google_play
growws interface is smoothest and good. bring us and global stock investing facility,5,0,18.14.2,google_play
can you add sort by category under dashboard of mutual fund bottom nav menu. it would help to undersand the investors how different funds of same category is currently performing.,4,0,18.14.2,google_play
if you want to loss your money and mind set download groww 4 years experience sharing free,1,5,18.13.2,google_play
it's really useful and very easy to work,5,0,18.14.2,google_play
removed manual payment option from sip just because they promote auto payment options...,1,0,18.14.2,google_play
"can i know when we can expect the grow integrated ai like gr 1 like that, and what will be features, can you please provide clear response",5,1,18.14.2,google_play
new etf offering should be shown <URL>z add new etf offering,5,0,18.14.2,google_play
"you app suddenly freezing, not opening keyboard to <PERSON>... what kind of update you guys have released",1,0,18.14.2,google_play
mtf is a scam! they will keep changing the haircut charges on leveraged stocks and there is no clarity on the ui which stocks are deducting hair cut charges. makes it impossible to plan and their customer support has not been helpful. customer support on chat has been giving me the same answer and then immediately disconnecting.,1,1,18.14.2,google_play
kindly optimize app for ipad .it's opening in half screen only... poor optimization from grow,2,0,18.14.2,google_play
"i invested rs 40,000 in a bank of india mutual fund yesterday. today morning, i received a message from the amc regarding allotment of units to me. the units became visible in my kfinkart app from that time. now its 6:30 pm in the evening and i am yet to locate my ₹40,000 investment despite updating external funds multiple times. my ticket number is 27244533 (got in response from groww).",1,1,18.14.2,google_play
do not use f&o trading bad app loss 45000,1,0,18.14.2,google_play
mtf intrest rate 15% is high it should be 10%,4,0,18.14.2,google_play
please add on cost per lot in option chain.,4,2,18.14.2,google_play
"""good app, easy to use, but some improvements are needed.",3,1,18.14.2,google_play
"very good app. most features we need is all inbuilt. only thing i found is little lag. most notifications are delayed. from opening bell to my watchlist stocks performance notifications. whenever it touches all time high or low notifications are coming only after 15 minutes. the new update with technical section is too good. new feature ""your top movers"" is too good",4,944,18.14.2,google_play
alll good. but. yy there. is. no. customer care. if. we. have. any. doubt. then. what. we. do.,5,1,18.14.2,google_play
investment flowchart not updated after even 4 days of increasing investment,2,0,17.91.1,google_play
excellent trading apps & very good & so faster,5,0,18.14.2,google_play
i don't have an option to select less than this feedback. <URL>ck of commitment what they are promoting recently i referred one of friend or colleague to groww and expected referral <URL>thing observed raised <URL> mentioned that now groww stopped referral ? i am not sure is this ethical and transparency where as still referral and invite section active and not displayed any message such as offer is discontinued... 2. customer care is pathetic and they respond whenever they feel 2respond,1,1,18.14.2,google_play
